stime,F-sensor-1,F-sensor-2,F-sensor-3,F-sensor-4,F-sensor-5,F-sensor-6,F-sensor-7,F-sensor-8,F-sensor-9,F-sensor-10,F-sensor-11,F-sensor-12,F-sensor-13,F-sensor-14,F-sensor-15,F-sensor-16,F-sensor-17,F-sensor-18,F-sensor-19,F-sensor-20,F-sensor-21,F-sensor-22,F-sensor-23,F-sensor-24,F-sensor-25,F-sensor-26,F-sensor-27,F-sensor-28,F-sensor-29,F-sensor-30,F-sensor-31,F-sensor-32,F-sensor-33,F-sensor-34,F-sensor-35,2185,2176,2191,2190,5526,5427,5428,5660,5738,5663,5638,5687,5713,4439,4440,4412,4415,4486,4651,4760,4401,4427,4824,2882,4898,5508,5198,5069,221,2252,23,2370,2366,2356,2440,2486,2263,2194,2457,2408,F-sensor-R1,F-sensor-R2,F-sensor-R3,32344,10289,43816,54798,32706,54458,54429,54585,33056,21654,21773,33103,32941,21932,33190,21817,21831,10645,21752,21892,32103,21950,33029,32895,32955,33276,33094,21871,10623,33290,21500,11305,33063,21807,33265,21777,21939,33205,11279,33127,32897,33031
2024-03-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01 00:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01 00:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,96.719,0.0,84.461,0.0,0.0,0.0,179.316,0.0,5.173,-5.6739999999999995,0.9999999999999999,-56.196,18.629,-4.999,0.0,-46.00600000000001,0.0,0.0,11.141,-4.304000000000001,76.588,-107.657,0.0,0.0,12.041,0.0,11.418,0.0,294.151,19.544,13.645,-5.181000000000001,0.0,-9.938000000000002,11.239,0.0,0.0,0.0,4.273,-0.644000000000002,4.42,0.0,0.0,0.0,17.562,10.919,53.625,0.0,0.2650000000000002,-0.445,-9.64,0.0,39.931,0.0,0.0,0.0,0.0,0.0,30.954,21.047,0.0,21.256,0.0,0.192,0.0,0.0,0.0,0.0,-11.894,770.511,0.0,0.9999999999999997,0.0,34.77,26.75,0.0,0.0,23.039,0.0,7.714,3.5909999999999997,0.0,3.574,0.0,0.0,3.259,3.148,2.88,0.0,2.83,0.0,0.0,0.0,2.665,0.0,0.0,2.654,0.0,0.0,0.0,2.272,2.14,0.0,2.276,2.37,0.0,0.0,0.0,2.091,0.0,2.068,0.0,0.0,1.9280000000000002
2024-03-01 01:15:00,0.0,0.0,26.777999999999995,0.0,0.0,0.0,98.091,56.652,84.215,0.0,0.0,0.0,179.847,0.0,4.843,-5.664,0.9999999999999999,-58.14300000000001,0.0,0.0,0.0,0.0,0.0,0.0,11.067,0.0,0.0,0.0,-12.882000000000003,0.0,11.898,49.191,11.111,-0.7249999999999999,295.347,19.676,0.0,-5.150000000000001,7.179,0.0,11.195,0.0,0.0,0.0,4.062,-0.6490000000000002,4.431,0.453,-1.696,4.057,18.252,11.07,54.878,0.0,0.0,0.0,-9.13,0.0,42.701,0.0,0.0,0.0,0.0,0.0,0.0,19.796,0.0,21.475,0.0,0.0,0.0,0.0,0.0,0.0,-11.305999999999997,0.0,270.768,0.0,0.0,33.577,26.918,24.795,0.0,23.616,0.0,0.0,0.0,3.664,3.557,0.0,0.0,3.399,3.1850000000000005,0.0,0.0,2.701,2.854,2.762,2.811,2.717,0.0,0.0,2.513,2.644,2.523,0.0,2.413,2.163,0.0,2.188,2.301,0.0,0.0,2.101,0.0,2.148,1.9980000000000002,1.952,0.0,1.849
2024-03-01 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01 01:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01 02:00:00,0.0,0.0,21.645999999999987,42.987,0.0,0.0,93.047,0.0,0.0,0.0,0.0,0.0,0.0,-16.64399999999998,4.28,0.0,0.9999999999999999,-54.31900000000002,0.0,-2.9589999999999983,0.0,0.0,0.0,0.0,10.621,-4.041000000000002,0.0,-99.10800000000002,-10.387000000000004,0.0,11.716,51.859,10.258,-0.6520000000000002,278.569,0.0,13.086,-4.654999999999999,0.0,-9.642000000000001,10.024,0.0,0.0,0.0,0.0,-0.554,0.0,0.421,-1.5970000000000002,3.835,0.0,10.224,53.49600000000001,0.0,0.0,0.0,-8.799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.489000000000004,11.987000000000002,0.0,0.0,0.0,0.182,0.0,0.0,4.455,0.0,0.0,729.9,0.0,0.0,0.0,0.0,0.0,24.394,0.0,0.0,0.0,7.815,0.0,3.3289999999999997,3.1630000000000003,0.0,0.0,2.909,2.918,2.544,0.0,2.548,0.0,2.386,0.0,2.423,0.0,2.342,2.378,2.284,0.0,0.0,2.247,0.0,0.0,2.043,2.103,0.0,0.0,1.83,1.82,1.8769999999999998,1.895,0.0,0.0,0.0
2024-03-01 02:15:00,0.0,0.0,23.165999999999983,0.0,0.0,0.0,90.984,52.794,78.032,0.0,0.0,0.0,167.074,-18.676000000000002,0.0,0.0,0.9999999999999999,-54.458999999999996,11.385,-2.982999999999998,0.0,-44.091,0.0,0.0,0.0,-3.8629999999999978,0.0,-97.11999999999999,0.0,0.0,11.017,47.494,0.0,-0.641,270.168,17.895,13.123,-4.708000000000001,6.728999999999999,0.0,0.0,-4.539,0.0,0.0,3.616,-0.5740000000000014,0.0,0.402,-1.6440000000000001,0.0,0.0,0.0,49.657,0.0,0.28499999999999986,-0.40599999999999997,-8.466,0.0,40.642,0.0,0.0,0.0,0.0,0.0,31.429,11.676,0.0,21.092,0.0,0.19,0.0,0.0,4.334,0.0,-11.245,716.346,248.018,0.9999999999999997,0.0,0.0,0.0,26.227,0.0,0.0,0.0,0.0,3.461,0.0,0.0,0.0,0.0,0.0,2.968,0.0,0.0,2.557,2.558,0.0,2.428,2.411,2.405,0.0,0.0,2.332,0.0,0.0,2.022,2.088,0.0,2.104,2.137,0.0,0.0,1.9709999999999999,0.0,1.8979999999999997,0.0,1.746,0.0,1.7840000000000003
