stime,F-sensor-1,F-sensor-2,F-sensor-3,F-sensor-4,F-sensor-5,F-sensor-6,F-sensor-7,F-sensor-8,F-sensor-9,F-sensor-10,F-sensor-11,F-sensor-12,F-sensor-13,F-sensor-14,F-sensor-15,F-sensor-16,F-sensor-17,F-sensor-18,F-sensor-19,F-sensor-20,F-sensor-21,F-sensor-22,F-sensor-23,F-sensor-24,F-sensor-25,F-sensor-26,F-sensor-27,F-sensor-28,F-sensor-29,F-sensor-30,F-sensor-31,F-sensor-32,F-sensor-33,F-sensor-34,F-sensor-35,2185,2176,2191,2190,5526,5427,5428,5660,5738,5663,5638,5687,5713,4439,4440,4412,4415,4486,4651,4760,4401,4427,4824,2882,4898,5508,5198,5069,221,2252,23,2370,2366,2356,2440,2486,2263,2194,2457,2408,F-sensor-R1,F-sensor-R2,F-sensor-R3,32344,10289,43816,54798,32706,54458,54429,54585,33056,21654,21773,33103,32941,21932,33190,21817,21831,10645,21752,21892,32103,21950,33029,32895,32955,33276,33094,21871,10623,33290,21500,11305,33063,21807,33265,21777,21939,33205,11279,33127,32897,33031
2024-03-01 00:00:00,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-7.034999999999999,-0.0,-0.0,43.412,-0.0,0.0,-0.0,-0.0,0.0,13.841000000000001,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-11.415,0.0,-0.0,0.0,130.789,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,8.43,7.736,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,3.751,-0.0,-0.0,3.309,3.344,0.0,-0.0,0.0,3.122,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0
2024-03-01 00:15:00,0.0,-0.0,0.0,0.0,61.223,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,6.508,-0.0,0.9999999999999999,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-143.27,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-6.614,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-2.3190000000000004,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,119.143,-0.0,-0.0,-0.0,0.0,29.560000000000002,-0.0,-0.0,-0.0,-3.210000000000001,0.0,0.0,0.0,0.0,0.0,0.9999999999999997,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,3.71,-0.0,3.641,0.0,-0.0,-0.0,3.576,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2.731,0.0,0.0,2.708,0.0,2.581,0.0
2024-03-01 00:30:00,-0.0,-0.0,0.0,54.33100000000001,0.0,0.0,-0.0,-0.0,0.0,179.775,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,14.617,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,13.9,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,358.329,0.0,0.0,0.0,29.102,0.0,0.23799999999999996,-10.471000000000002,-3.285,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,4.029,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,3.338,3.161,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,2.616,2.719,-0.0
2024-03-01 00:45:00,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,6.612,-6.871,0.0,-0.0,44.106,-0.0,-0.0,-55.182,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,364.618,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,13.581,-0.0,0.0,0.16399999999999987,0.0,0.0,0.0,47.518,0.0,0.0,3.011,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,6.458,0.0,0.0,1011.3830000000002,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,8.236,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,3.864,-0.0,3.847,-0.0,-0.0,-0.0,3.469,0.0,0.0,3.386,-0.0,0.0,3.322,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
2024-03-01 01:00:00,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,-4.999,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,51.051,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,59.74,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,4.697,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,2.634,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,2.322,-0.0,-0.0,0.0,-0.0,2.091,-0.0,2.02,-0.0,0.0,0.0,0.0
2024-03-01 01:15:00,-0.0,-0.0,0.0,-0.0,0.0,94.849,98.091,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.9999999999999999,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.6490000000000002,4.431,0.0,0.0,4.057,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,30.861,0.0,0.0,-0.0,-0.0,0.199,0.0,0.0,-0.0,-17.833999999999996,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,24.795,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,3.54,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
2024-03-01 01:30:00,0.0,0.0,0.0,-0.0,0.0,102.65699999999998,95.566,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-254.22099999999998,0.0,51.3,0.0,0.0,-0.0,19.857,14.65,-0.0,-0.0,0.0,10.678,-5.318999999999999,-19.113,-0.0,0.0,-0.0,-0.0,0.477,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.25300000000000017,-0.0,-0.0,0.509,42.254,0.0,106.928,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-11.246,0.0,0.0,-0.0,-0.0,34.033,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,2.706,0.0,-0.0,0.0,2.287,-0.0,-0.0,2.264,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,2.037,-0.0
2024-03-01 01:45:00,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,86.533,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-267.701,-0.0,0.0,0.0,-0.0,-0.0,19.397,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,3.199,-0.0,0.0,0.0,0.0,2.803,2.661,-0.0,0.0,0.0,-0.0,2.479,0.0,-0.0,0.0,2.248,2.22,2.218,0.0,0.0,0.0,0.0,2.109,0.0,0.0,-0.0,-0.0,1.92
2024-03-01 02:00:00,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,4.28,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,64.793,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,13.086,-4.654999999999999,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,2.498,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.103,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,1.757,0.0
2024-03-01 02:15:00,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,277.852,167.074,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-248.39600000000004,11.017,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-8.466,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.19,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,32.335,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,2.968,-0.0,0.0,0.0,0.0,0.0,0.0,2.411,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1.9759999999999998,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
