stime,P-sensor-1,P-sensor-2,P-sensor-3,P-sensor-4,P-sensor-5,P-sensor-6,P-sensor-7,P-sensor-8,P-sensor-9,P-sensor-10,P-sensor-11,P-sensor-12,P-sensor-13,P-sensor-14,P-sensor-15,P-sensor-16,P-sensor-17,P-sensor-18,P-sensor-19,P-sensor-20,P-sensor-21,P-sensor-22,P-sensor-23,P-sensor-24,P-sensor-25,P-sensor-26,P-sensor-27,P-sensor-28,P-sensor-29,P-sensor-30,P-sensor-31,P-sensor-32,P-sensor-33,P-sensor-34,P-sensor-35,P-sensor-36,P-sensor-37,P-sensor-38,P-sensor-39,P-sensor-40,P-sensor-41,P-sensor-42,P-sensor-43,P-sensor-44,P-sensor-45,P-sensor-46,P-sensor-47,P-sensor-48,P-sensor-49,P-sensor-50,P-sensor-51,P-sensor-52
2024-03-01 00:00:00,0.298,0.252,0.0,0.331,0.492,0.347,0.0,0.0,0.281,0.0,0.296,0.288,0.0,0.0,0.0,0.463,0.0,0.251,0.0,0.447,0.0,0.0,0.431,0.519,0.0,0.0,0.45799999999999996,0.0,0.0,0.0,0.0,0.322,0.0,0.404,0.515,0.409,0.0,0.0,0.271,0.0,0.0,0.0,0.266,0.3320000000000001,0.0,0.498,0.304,0.39499999999999996,0.0,0.45200000000000007,0.375,0.0
2024-03-01 00:15:00,0.305,0.256,0.0,0.324,0.497,0.35,0.0,0.0,0.295,0.0,0.291,0.29,0.0,0.0,0.0,0.466,0.0,0.262,0.0,0.44299999999999995,0.0,0.0,0.43,0.515,0.0,0.0,0.452,0.0,0.0,0.0,0.0,0.322,0.0,0.409,0.521,0.4,0.0,0.0,0.267,0.0,0.0,0.0,0.267,0.331,0.0,0.496,0.316,0.393,0.0,0.45400000000000007,0.379,0.0
2024-03-01 00:30:00,0.3,0.252,0.0,0.323,0.486,0.346,0.0,0.0,0.288,0.0,0.292,0.288,0.0,0.0,0.0,0.453,0.0,0.267,0.0,0.45400000000000007,0.0,0.0,0.431,0.517,0.0,0.0,0.4570000000000001,0.0,0.0,0.0,0.0,0.319,0.0,0.406,0.521,0.407,0.0,0.0,0.266,0.0,0.0,0.0,0.267,0.324,0.0,0.494,0.314,0.391,0.0,0.45500000000000007,0.364,0.0
2024-03-01 00:45:00,0.304,0.255,0.0,0.317,0.487,0.349,0.0,0.0,0.297,0.0,0.29,0.29,0.0,0.0,0.0,0.456,0.0,0.26,0.0,0.437,0.0,0.0,0.428,0.515,0.0,0.0,0.45799999999999996,0.0,0.0,0.0,0.0,0.319,0.0,0.41,0.513,0.406,0.0,0.0,0.27,0.0,0.0,0.0,0.261,0.32299999999999995,0.0,0.496,0.311,0.387,0.0,0.45600000000000007,0.372,0.0
2024-03-01 01:00:00,0.327,0.279,0.0,0.345,0.543,0.391,0.0,0.0,0.3,0.0,0.302,0.296,0.0,0.0,0.0,0.47800000000000004,0.0,0.26,0.0,0.46,0.0,0.0,0.445,0.521,0.0,0.0,0.467,0.0,0.0,0.0,0.0,0.321,0.0,0.425,0.535,0.413,0.0,0.0,0.272,0.0,0.0,0.0,0.273,0.32700000000000007,0.0,0.504,0.316,0.435,0.0,0.502,0.411,0.0
2024-03-01 01:15:00,0.329,0.273,0.0,0.351,0.54,0.395,0.0,0.0,0.304,0.0,0.301,0.296,0.0,0.0,0.0,0.466,0.0,0.265,0.0,0.457,0.0,0.0,0.447,0.514,0.0,0.0,0.46399999999999997,0.0,0.0,0.0,0.0,0.323,0.0,0.426,0.539,0.414,0.0,0.0,0.271,0.0,0.0,0.0,0.266,0.32700000000000007,0.0,0.507,0.321,0.429,0.0,0.505,0.419,0.0
2024-03-01 01:30:00,0.317,0.276,0.0,0.35,0.545,0.385,0.0,0.0,0.312,0.0,0.308,0.293,0.0,0.0,0.0,0.469,0.0,0.262,0.0,0.45,0.0,0.0,0.445,0.517,0.0,0.0,0.46399999999999997,0.0,0.0,0.0,0.0,0.32,0.0,0.428,0.535,0.416,0.0,0.0,0.275,0.0,0.0,0.0,0.27,0.32700000000000007,0.0,0.504,0.33,0.43600000000000005,0.0,0.5,0.427,0.0
2024-03-01 01:45:00,0.329,0.284,0.0,0.344,0.541,0.407,0.0,0.0,0.301,0.0,0.3,0.287,0.0,0.0,0.0,0.468,0.0,0.265,0.0,0.46599999999999997,0.0,0.0,0.452,0.528,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.322,0.0,0.419,0.532,0.414,0.0,0.0,0.269,0.0,0.0,0.0,0.267,0.34,0.0,0.505,0.32,0.431,0.0,0.503,0.41500000000000004,0.0
2024-03-01 02:00:00,0.329,0.279,0.0,0.351,0.554,0.401,0.0,0.0,0.298,0.0,0.302,0.291,0.0,0.0,0.0,0.477,0.0,0.256,0.0,0.45400000000000007,0.0,0.0,0.441,0.521,0.0,0.0,0.473,0.0,0.0,0.0,0.0,0.317,0.0,0.432,0.54,0.432,0.0,0.0,0.275,0.0,0.0,0.0,0.276,0.34,0.0,0.51,0.327,0.444,0.0,0.51,0.434,0.0
2024-03-01 02:15:00,0.329,0.278,0.0,0.351,0.559,0.406,0.0,0.0,0.308,0.0,0.294,0.289,0.0,0.0,0.0,0.48300000000000004,0.0,0.256,0.0,0.464,0.0,0.0,0.449,0.515,0.0,0.0,0.468,0.0,0.0,0.0,0.0,0.318,0.0,0.422,0.532,0.423,0.0,0.0,0.283,0.0,0.0,0.0,0.268,0.334,0.0,0.509,0.328,0.447,0.0,0.51,0.42,0.0
2024-03-01 02:30:00,0.329,0.276,0.0,0.36,0.553,0.402,0.0,0.0,0.302,0.0,0.306,0.3,0.0,0.0,0.0,0.469,0.0,0.253,0.0,0.44500000000000006,0.0,0.0,0.441,0.515,0.0,0.0,0.4719999999999999,0.0,0.0,0.0,0.0,0.32,0.0,0.424,0.537,0.425,0.0,0.0,0.271,0.0,0.0,0.0,0.271,0.333,0.0,0.502,0.316,0.45,0.0,0.504,0.432,0.0
2024-03-01 02:45:00,0.332,0.272,0.0,0.355,0.551,0.4,0.0,0.0,0.307,0.0,0.296,0.301,0.0,0.0,0.0,0.48,0.0,0.266,0.0,0.456,0.0,0.0,0.452,0.529,0.0,0.0,0.475,0.0,0.0,0.0,0.0,0.32,0.0,0.414,0.533,0.428,0.0,0.0,0.267,0.0,0.0,0.0,0.271,0.3320000000000001,0.0,0.509,0.323,0.441,0.0,0.511,0.429,0.0
2024-03-01 03:00:00,0.347,0.288,0.0,0.366,0.576,0.419,0.0,0.0,0.303,0.0,0.3,0.29,0.0,0.0,0.0,0.475,0.0,0.263,0.0,0.457,0.0,0.0,0.452,0.523,0.0,0.0,0.476,0.0,0.0,0.0,0.0,0.32,0.0,0.431,0.542,0.43,0.0,0.0,0.273,0.0,0.0,0.0,0.268,0.34,0.0,0.508,0.325,0.468,0.0,0.536,0.452,0.0
2024-03-01 03:15:00,0.342,0.288,0.0,0.364,0.574,0.431,0.0,0.0,0.307,0.0,0.301,0.297,0.0,0.0,0.0,0.47300000000000003,0.0,0.266,0.0,0.4680000000000001,0.0,0.0,0.449,0.526,0.0,0.0,0.474,0.0,0.0,0.0,0.0,0.319,0.0,0.425,0.545,0.428,0.0,0.0,0.278,0.0,0.0,0.0,0.274,0.329,0.0,0.515,0.329,0.468,0.0,0.536,0.457,0.0
